movie_id,title,dbpedia_uri,wikidata_id
27,Bad Boys (1995),http://dbpedia.org/resource/Bad_Boys,Q3795729
28,Apollo 13 (1995),http://dbpedia.org/resource/Apollo_13,Q8024197
29,Batman Forever (1995),http://dbpedia.org/resource/Batman_Forever,Q9864629
30,Belle de jour (1967),http://dbpedia.org/resource/Belle_de_jour,Q5249077
31,Crimson Tide (1995),http://dbpedia.org/resource/Crimson_Tide,Q2693944
32,Crumb (1994),http://dbpedia.org/resource/Crumb,Q367287
33,Desperado (1995),http://dbpedia.org/resource/Desperado,Q9312402
34,"Doom Generation, The (1995)","http://dbpedia.org/resource/Doom_Generation,_The",Q705567
35,Free Willy 2: The Adventure Home (1995),http://dbpedia.org/resource/Free_Willy_2:_The_Adventure_Home,Q8663793
36,Mad Love (1995),http://dbpedia.org/resource/Mad_Love,Q6725271
37,Nadja (1994),http://dbpedia.org/resource/Nadja,Q6244076
38,"Net, The (1995)","http://dbpedia.org/resource/Net,_The",Q7183654
39,Strange Days (1995),http://dbpedia.org/resource/Strange_Days,Q1318470
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","http://dbpedia.org/resource/To_Wong_Foo,_Thanks_for_Everything!_Julie_Newmar",Q5779540
41,Billy Madison (1995),http://dbpedia.org/resource/Billy_Madison,Q9014984
42,Clerks (1994),http://dbpedia.org/resource/Clerks,Q3140613
43,Disclosure (1994),http://dbpedia.org/resource/Disclosure,Q8073301
44,Dolores Claiborne (1994),http://dbpedia.org/resource/Dolores_Claiborne,Q5778802
45,Eat Drink Man Woman (1994),http://dbpedia.org/resource/Eat_Drink_Man_Woman,Q8274861
46,Exotica (1994),http://dbpedia.org/resource/Exotica,Q7645605
47,Ed Wood (1994),http://dbpedia.org/resource/Ed_Wood,Q5336061
48,Hoop Dreams (1994),http://dbpedia.org/resource/Hoop_Dreams,Q794263
49,I.Q. (1994),http://dbpedia.org/resource/I.Q.,Q48536
50,Star Wars (1977),http://dbpedia.org/resource/Star_Wars,Q9331475
51,Legends of the Fall (1994),http://dbpedia.org/resource/Legends_of_the_Fall,Q9779448
52,"Madness of King George, The (1994)","http://dbpedia.org/resource/Madness_of_King_George,_The",Q6521807
53,Natural Born Killers (1994),http://dbpedia.org/resource/Natural_Born_Killers,Q2286560
54,Outbreak (1995),http://dbpedia.org/resource/Outbreak,Q1299075
55,"Professional, The (1994)","http://dbpedia.org/resource/Professional,_The",Q9972923
56,Pulp Fiction (1994),http://dbpedia.org/resource/Pulp_Fiction,Q12479
57,Priest (1994),http://dbpedia.org/resource/Priest,Q6548800
58,Quiz Show (1994),http://dbpedia.org/resource/Quiz_Show,Q9323335
59,Three Colors: Red (1994),http://dbpedia.org/resource/Three_Colors:_Red,Q8954743
60,Three Colors: Blue (1993),http://dbpedia.org/resource/Three_Colors:_Blue,Q635283
61,Three Colors: White (1994),http://dbpedia.org/resource/Three_Colors:_White,Q9924753
62,Stargate (1994),http://dbpedia.org/resource/Stargate,Q7436114
63,"Santa Clause, The (1994)","http://dbpedia.org/resource/Santa_Clause,_The",Q5585452
64,"Shawshank Redemption, The (1994)","http://dbpedia.org/resource/Shawshank_Redemption,_The",Q3714808
65,What's Eating Gilbert Grape (1993),http://dbpedia.org/resource/What's_Eating_Gilbert_Grape,Q1252939
66,While You Were Sleeping (1995),http://dbpedia.org/resource/While_You_Were_Sleeping,Q1515602
67,Ace Ventura: Pet Detective (1994),http://dbpedia.org/resource/Ace_Ventura:_Pet_Detective,Q9272330
68,"Crow, The (1994)","http://dbpedia.org/resource/Crow,_The",Q2688405
69,Forrest Gump (1994),http://dbpedia.org/resource/Forrest_Gump,Q6921244
70,Four Weddings and a Funeral (1994),http://dbpedia.org/resource/Four_Weddings_and_a_Funeral,Q6080591
71,"Lion King, The (1994)","http://dbpedia.org/resource/Lion_King,_The",Q4202930
72,"Mask, The (1994)","http://dbpedia.org/resource/Mask,_The",Q755601
73,Maverick (1994),http://dbpedia.org/resource/Maverick,Q9775427
74,Faster Pussycat! Kill! Kill! (1965),http://dbpedia.org/resource/Faster_Pussycat!_Kill!_Kill!,Q7187525
75,Brother Minister: The Assassination of Malcolm X (1994),http://dbpedia.org/resource/Brother_Minister:_The_Assassination_of_Malcolm_X,Q4668654
76,Carlito's Way (1993),http://dbpedia.org/resource/Carlito's_Way,Q1088123
77,"Firm, The (1993)","http://dbpedia.org/resource/Firm,_The",Q7907131
78,Free Willy (1993),http://dbpedia.org/resource/Free_Willy,Q1650929
79,"Fugitive, The (1993)","http://dbpedia.org/resource/Fugitive,_The",Q6727105
80,Hot Shots! Part Deux (1993),http://dbpedia.org/resource/Hot_Shots!_Part_Deux,Q2864185
81,"Hudsucker Proxy, The (1994)","http://dbpedia.org/resource/Hudsucker_Proxy,_The",Q9116290
82,Jurassic Park (1993),http://dbpedia.org/resource/Jurassic_Park,Q1814224
83,Much Ado About Nothing (1993),http://dbpedia.org/resource/Much_Ado_About_Nothing,Q3362593
84,Robert A. Heinlein's The Puppet Masters (1994),http://dbpedia.org/resource/Robert_A._Heinlein's_The_Puppet_Masters,Q7605735
85,"Ref, The (1994)","http://dbpedia.org/resource/Ref,_The",Q5323461
86,"Remains of the Day, The (1993)","http://dbpedia.org/resource/Remains_of_the_Day,_The",Q8743290
87,Searching for Bobby Fischer (1993),http://dbpedia.org/resource/Searching_for_Bobby_Fischer,Q8288194
88,Sleepless in Seattle (1993),http://dbpedia.org/resource/Sleepless_in_Seattle,Q6515750
89,Blade Runner (1982),http://dbpedia.org/resource/Blade_Runner,Q7404787
90,So I Married an Axe Murderer (1993),http://dbpedia.org/resource/So_I_Married_an_Axe_Murderer,Q7466867
91,"Nightmare Before Christmas, The (1993)","http://dbpedia.org/resource/Nightmare_Before_Christmas,_The",Q420504
92,True Romance (1993),http://dbpedia.org/resource/True_Romance,Q4113878
93,Welcome to the Dollhouse (1995),http://dbpedia.org/resource/Welcome_to_the_Dollhouse,Q7266509
94,Home Alone (1990),http://dbpedia.org/resource/Home_Alone,Q7160202
95,Aladdin (1992),http://dbpedia.org/resource/Aladdin,Q7830292
96,Terminator 2: Judgment Day (1991),http://dbpedia.org/resource/Terminator_2:_Judgment_Day,Q9686166
97,Dances with Wolves (1990),http://dbpedia.org/resource/Dances_with_Wolves,Q2740994
98,"Silence of the Lambs, The (1991)","http://dbpedia.org/resource/Silence_of_the_Lambs,_The",Q9602055
99,Snow White and the Seven Dwarfs (1937),http://dbpedia.org/resource/Snow_White_and_the_Seven_Dwarfs,Q7718245
100,Fargo (1996),http://dbpedia.org/resource/Fargo,Q4457502
101,Heavy Metal (1981),http://dbpedia.org/resource/Heavy_Metal,Q691527
102,"Aristocats, The (1970)","http://dbpedia.org/resource/Aristocats,_The",Q7070269
103,All Dogs Go to Heaven 2 (1996),http://dbpedia.org/resource/All_Dogs_Go_to_Heaven_2,Q3930791
104,Theodore Rex (1995),http://dbpedia.org/resource/Theodore_Rex,Q7665305
105,Sgt. Bilko (1996),http://dbpedia.org/resource/Sgt._Bilko,Q9731517
106,Diabolique (1996),http://dbpedia.org/resource/Diabolique,Q9706006
107,Moll Flanders (1996),http://dbpedia.org/resource/Moll_Flanders,Q7494668
108,Kids in the Hall: Brain Candy (1996),http://dbpedia.org/resource/Kids_in_the_Hall:_Brain_Candy,Q6737271
109,Mystery Science Theater 3000: The Movie (1996),http://dbpedia.org/resource/Mystery_Science_Theater_3000:_The_Movie,Q3692365
110,Operation Dumbo Drop (1995),http://dbpedia.org/resource/Operation_Dumbo_Drop,Q4427611
111,"Truth About Cats & Dogs, The (1996)","http://dbpedia.org/resource/Truth_About_Cats_&_Dogs,_The",Q8225198
112,Flipper (1996),http://dbpedia.org/resource/Flipper,Q8753247
113,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)","http://dbpedia.org/resource/Horseman_on_the_Roof,_The",Q1190221
114,Wallace & Gromit: The Best of Aardman Animation (1996),http://dbpedia.org/resource/Wallace_&_Gromit:_The_Best_of_Aardman_Animation,Q8519369
115,"Haunted World of Edward D. Wood Jr., The (1995)","http://dbpedia.org/resource/Haunted_World_of_Edward_D._Wood_Jr.,_The",Q1136886
116,Cold Comfort Farm (1995),http://dbpedia.org/resource/Cold_Comfort_Farm,Q3493095
117,"Rock, The (1996)","http://dbpedia.org/resource/Rock,_The",Q4429156
118,Twister (1996),http://dbpedia.org/resource/Twister,Q7727915
119,Maya Lin: A Strong Clear Vision (1994),http://dbpedia.org/resource/Maya_Lin:_A_Strong_Clear_Vision,Q92200
120,Striptease (1996),http://dbpedia.org/resource/Striptease,Q8694248
121,Independence Day (ID4) (1996),http://dbpedia.org/resource/Independence_Day,Q1223639
122,"Cable Guy, The (1996)","http://dbpedia.org/resource/Cable_Guy,_The",Q6259984
123,"Frighteners, The (1996)","http://dbpedia.org/resource/Frighteners,_The",Q6807422
124,Lone Star (1996),http://dbpedia.org/resource/Lone_Star,Q393368
125,Phenomenon (1996),http://dbpedia.org/resource/Phenomenon,Q8870723
126,"Spitfire Grill, The (1996)","http://dbpedia.org/resource/Spitfire_Grill,_The",Q9302204
127,"Godfather, The (1972)","http://dbpedia.org/resource/Godfather,_The",Q4489746
128,Supercop (1992),http://dbpedia.org/resource/Supercop,Q3222789
129,Bound (1996),http://dbpedia.org/resource/Bound,Q9196778
130,Kansas City (1996),http://dbpedia.org/resource/Kansas_City,Q8661231
131,Breakfast at Tiffany's (1961),http://dbpedia.org/resource/Breakfast_at_Tiffany's,Q1694226
132,"Wizard of Oz, The (1939)","http://dbpedia.org/resource/Wizard_of_Oz,_The",Q3174598
133,Gone with the Wind (1939),http://dbpedia.org/resource/Gone_with_the_Wind,Q9690219
134,Citizen Kane (1941),http://dbpedia.org/resource/Citizen_Kane,Q8677031
135,2001: A Space Odyssey (1968),http://dbpedia.org/resource/2001:_A_Space_Odyssey,Q639709
136,Mr. Smith Goes to Washington (1939),http://dbpedia.org/resource/Mr._Smith_Goes_to_Washington,Q1187121
137,Big Night (1996),http://dbpedia.org/resource/Big_Night,Q4178240
138,D3: The Mighty Ducks (1996),http://dbpedia.org/resource/D3:_The_Mighty_Ducks,Q4497256
139,"Love Bug, The (1969)","http://dbpedia.org/resource/Love_Bug,_The",Q3124566
140,Homeward Bound: The Incredible Journey (1993),http://dbpedia.org/resource/Homeward_Bound:_The_Incredible_Journey,Q9821732
141,"20,000 Leagues Under the Sea (1954)","http://dbpedia.org/resource/20,000_Leagues_Under_the_Sea",Q8827747
142,Bedknobs and Broomsticks (1971),http://dbpedia.org/resource/Bedknobs_and_Broomsticks,Q190163
143,"Sound of Music, The (1965)","http://dbpedia.org/resource/Sound_of_Music,_The",Q3667601
144,Die Hard (1988),http://dbpedia.org/resource/Die_Hard,Q9360208
145,"Lawnmower Man, The (1992)","http://dbpedia.org/resource/Lawnmower_Man,_The",Q6182539
146,Unhook the Stars (1996),http://dbpedia.org/resource/Unhook_the_Stars,Q2451804
147,"Long Kiss Goodnight, The (1996)","http://dbpedia.org/resource/Long_Kiss_Goodnight,_The",Q6932653
148,"Ghost and the Darkness, The (1996)","http://dbpedia.org/resource/Ghost_and_the_Darkness,_The",Q6428062
149,Jude (1996),http://dbpedia.org/resource/Jude,Q8337896
150,Swingers (1996),http://dbpedia.org/resource/Swingers,Q5959307
151,Willy Wonka and the Chocolate Factory (1971),http://dbpedia.org/resource/Willy_Wonka_and_the_Chocolate_Factory,Q7680980
152,Sleeper (1973),http://dbpedia.org/resource/Sleeper,Q6885449
153,"Fish Called Wanda, A (1988)","http://dbpedia.org/resource/Fish_Called_Wanda,_A",Q9818974
154,Monty Python's Life of Brian (1979),http://dbpedia.org/resource/Monty_Python's_Life_of_Brian,Q7241139
155,Dirty Dancing (1987),http://dbpedia.org/resource/Dirty_Dancing,Q7214970
156,Reservoir Dogs (1992),http://dbpedia.org/resource/Reservoir_Dogs,Q6444726
157,Platoon (1986),http://dbpedia.org/resource/Platoon,Q5781091
158,Weekend at Bernie's (1989),http://dbpedia.org/resource/Weekend_at_Bernie's,Q8033622
159,Basic Instinct (1992),http://dbpedia.org/resource/Basic_Instinct,Q2658225
160,Glengarry Glen Ross (1992),http://dbpedia.org/resource/Glengarry_Glen_Ross,Q8871588
161,Top Gun (1986),http://dbpedia.org/resource/Top_Gun,Q4849403
162,On Golden Pond (1981),http://dbpedia.org/resource/On_Golden_Pond,Q4343609
163,"Return of the Pink Panther, The (1974)","http://dbpedia.org/resource/Return_of_the_Pink_Panther,_The",Q6152935
164,"Abyss, The (1989)","http://dbpedia.org/resource/Abyss,_The",Q1971282
165,Jean de Florette (1986),http://dbpedia.org/resource/Jean_de_Florette,Q6482
166,Manon of the Spring (Manon des sources) (1986),http://dbpedia.org/resource/Manon_of_the_Spring,Q838250
167,Private Benjamin (1980),http://dbpedia.org/resource/Private_Benjamin,Q9141472
168,Monty Python and the Holy Grail (1974),http://dbpedia.org/resource/Monty_Python_and_the_Holy_Grail,Q7730330
169,"Wrong Trousers, The (1993)","http://dbpedia.org/resource/Wrong_Trousers,_The",Q2245897
170,Cinema Paradiso (1988),http://dbpedia.org/resource/Cinema_Paradiso,Q3469035
171,Delicatessen (1991),http://dbpedia.org/resource/Delicatessen,Q1805233
172,"Empire Strikes Back, The (1980)","http://dbpedia.org/resource/Empire_Strikes_Back,_The",Q7616087
173,"Princess Bride, The (1987)","http://dbpedia.org/resource/Princess_Bride,_The",Q6105969
174,Raiders of the Lost Ark (1981),http://dbpedia.org/resource/Raiders_of_the_Lost_Ark,Q2019423
175,Brazil (1985),http://dbpedia.org/resource/Brazil,Q1315120
176,Aliens (1986),http://dbpedia.org/resource/Aliens,Q7265661
177,"Good, The Bad and The Ugly, The (1966)","http://dbpedia.org/resource/Good,_The_Bad_and_The_Ugly,_The",Q8199137
178,12 Angry Men (1957),http://dbpedia.org/resource/12_Angry_Men,Q7720982
179,"Clockwork Orange, A (1971)","http://dbpedia.org/resource/Clockwork_Orange,_A",Q3047900
180,Apocalypse Now (1979),http://dbpedia.org/resource/Apocalypse_Now,Q3879070
181,Return of the Jedi (1983),http://dbpedia.org/resource/Return_of_the_Jedi,Q1964566
182,GoodFellas (1990),http://dbpedia.org/resource/GoodFellas,Q5684716
183,Alien (1979),http://dbpedia.org/resource/Alien,Q4149958
184,Army of Darkness (1993),http://dbpedia.org/resource/Army_of_Darkness,Q1084177
185,Psycho (1960),http://dbpedia.org/resource/Psycho,Q3206348
186,"Blues Brothers, The (1980)","http://dbpedia.org/resource/Blues_Brothers,_The",Q7135287
187,"Godfather: Part II, The (1974)","http://dbpedia.org/resource/Godfather:_Part_II,_The",Q2692417
188,Full Metal Jacket (1987),http://dbpedia.org/resource/Full_Metal_Jacket,Q5698043
189,"Grand Day Out, A (1992)","http://dbpedia.org/resource/Grand_Day_Out,_A",Q8601085
190,Henry V (1989),http://dbpedia.org/resource/Henry_V,Q4571264
191,Amadeus (1984),http://dbpedia.org/resource/Amadeus,Q4775993
192,Raging Bull (1980),http://dbpedia.org/resource/Raging_Bull,Q3732831
193,"Right Stuff, The (1983)","http://dbpedia.org/resource/Right_Stuff,_The",Q2550497
194,"Sting, The (1973)","http://dbpedia.org/resource/Sting,_The",Q4771480
195,"Terminator, The (1984)","http://dbpedia.org/resource/Terminator,_The",Q694146
196,Dead Poets Society (1989),http://dbpedia.org/resource/Dead_Poets_Society,Q5496909
197,"Graduate, The (1967)","http://dbpedia.org/resource/Graduate,_The",Q1042114
198,Nikita (La Femme Nikita) (1990),http://dbpedia.org/resource/Nikita,Q1659479
199,"Bridge on the River Kwai, The (1957)","http://dbpedia.org/resource/Bridge_on_the_River_Kwai,_The",Q4771013
200,"Shining, The (1980)","http://dbpedia.org/resource/Shining,_The",Q1549837
201,Evil Dead II (1987),http://dbpedia.org/resource/Evil_Dead_II,Q9271422
202,Groundhog Day (1993),http://dbpedia.org/resource/Groundhog_Day,Q2417318
203,Unforgiven (1992),http://dbpedia.org/resource/Unforgiven,Q9972400
204,Back to the Future (1985),http://dbpedia.org/resource/Back_to_the_Future,Q8792750
205,Patton (1970),http://dbpedia.org/resource/Patton,Q5538905
206,Akira (1988),http://dbpedia.org/resource/Akira,Q6441453
207,Cyrano de Bergerac (1990),http://dbpedia.org/resource/Cyrano_de_Bergerac,Q6335303
208,Young Frankenstein (1974),http://dbpedia.org/resource/Young_Frankenstein,Q7426747
209,This Is Spinal Tap (1984),http://dbpedia.org/resource/This_Is_Spinal_Tap,Q4932622
210,Indiana Jones and the Last Crusade (1989),http://dbpedia.org/resource/Indiana_Jones_and_the_Last_Crusade,Q9243059
211,M*A*S*H (1970),http://dbpedia.org/resource/M*A*S*H,Q4556142
212,"Unbearable Lightness of Being, The (1988)","http://dbpedia.org/resource/Unbearable_Lightness_of_Being,_The",Q1757969
213,"Room with a View, A (1986)","http://dbpedia.org/resource/Room_with_a_View,_A",Q9063664
214,Pink Floyd - The Wall (1982),http://dbpedia.org/resource/Pink_Floyd_-_The_Wall,Q6385578
215,Field of Dreams (1989),http://dbpedia.org/resource/Field_of_Dreams,Q2397071
216,When Harry Met Sally... (1989),http://dbpedia.org/resource/When_Harry_Met_Sally...,Q8350160
217,Bram Stoker's Dracula (1992),http://dbpedia.org/resource/Bram_Stoker's_Dracula,Q4231066
218,Cape Fear (1991),http://dbpedia.org/resource/Cape_Fear,Q7036892
219,"Nightmare on Elm Street, A (1984)","http://dbpedia.org/resource/Nightmare_on_Elm_Street,_A",Q5605786
220,"Mirror Has Two Faces, The (1996)","http://dbpedia.org/resource/Mirror_Has_Two_Faces,_The",Q9179913
221,Breaking the Waves (1996),http://dbpedia.org/resource/Breaking_the_Waves,Q176360
222,Star Trek: First Contact (1996),http://dbpedia.org/resource/Star_Trek:_First_Contact,Q6546716
223,Sling Blade (1996),http://dbpedia.org/resource/Sling_Blade,Q3312350
224,Ridicule (1996),http://dbpedia.org/resource/Ridicule,Q7062594
225,101 Dalmatians (1996),http://dbpedia.org/resource/101_Dalmatians,Q7854459
226,Die Hard 2 (1990),http://dbpedia.org/resource/Die_Hard_2,Q645861
227,Star Trek VI: The Undiscovered Country (1991),http://dbpedia.org/resource/Star_Trek_VI:_The_Undiscovered_Country,Q1150448
228,Star Trek: The Wrath of Khan (1982),http://dbpedia.org/resource/Star_Trek:_The_Wrath_of_Khan,Q4532519
229,Star Trek III: The Search for Spock (1984),http://dbpedia.org/resource/Star_Trek_III:_The_Search_for_Spock,Q8273295
230,Star Trek IV: The Voyage Home (1986),http://dbpedia.org/resource/Star_Trek_IV:_The_Voyage_Home,Q4542662
231,Batman Returns (1992),http://dbpedia.org/resource/Batman_Returns,Q9025612
232,Young Guns (1988),http://dbpedia.org/resource/Young_Guns,Q2345090
233,Under Siege (1992),http://dbpedia.org/resource/Under_Siege,Q4738050
234,Jaws (1975),http://dbpedia.org/resource/Jaws,Q4468701
235,Mars Attacks! (1996),http://dbpedia.org/resource/Mars_Attacks!,Q2430258
236,Citizen Ruth (1996),http://dbpedia.org/resource/Citizen_Ruth,Q3348920
237,Jerry Maguire (1996),http://dbpedia.org/resource/Jerry_Maguire,Q5569615
238,Raising Arizona (1987),http://dbpedia.org/resource/Raising_Arizona,Q5593753
239,Sneakers (1992),http://dbpedia.org/resource/Sneakers,Q8392092
240,Beavis and Butt-head Do America (1996),http://dbpedia.org/resource/Beavis_and_Butt-head_Do_America,Q7840974
241,"Last of the Mohicans, The (1992)","http://dbpedia.org/resource/Last_of_the_Mohicans,_The",Q6452019
242,Kolya (1996),http://dbpedia.org/resource/Kolya,Q3699221
243,Jungle2Jungle (1997),http://dbpedia.org/resource/Jungle2Jungle,Q7013386
244,Smilla's Sense of Snow (1997),http://dbpedia.org/resource/Smilla's_Sense_of_Snow,Q4336529
245,"Devil's Own, The (1997)","http://dbpedia.org/resource/Devil's_Own,_The",Q6077192
246,Chasing Amy (1997),http://dbpedia.org/resource/Chasing_Amy,Q5707876
247,Turbo: A Power Rangers Movie (1997),http://dbpedia.org/resource/Turbo:_A_Power_Rangers_Movie,Q8412346
248,Grosse Pointe Blank (1997),http://dbpedia.org/resource/Grosse_Pointe_Blank,Q8925391
249,Austin Powers: International Man of Mystery (1997),http://dbpedia.org/resource/Austin_Powers:_International_Man_of_Mystery,Q116032
250,"Fifth Element, The (1997)","http://dbpedia.org/resource/Fifth_Element,_The",Q7692706
251,Shall We Dance? (1996),http://dbpedia.org/resource/Shall_We_Dance?,Q8866932
252,"Lost World: Jurassic Park, The (1997)","http://dbpedia.org/resource/Lost_World:_Jurassic_Park,_The",Q21727
253,"Pillow Book, The (1995)","http://dbpedia.org/resource/Pillow_Book,_The",Q7159312
254,Batman & Robin (1997),http://dbpedia.org/resource/Batman_&_Robin,Q8264033
255,My Best Friend's Wedding (1997),http://dbpedia.org/resource/My_Best_Friend's_Wedding,Q8987948
256,When the Cats Away (Chacun cherche son chat) (1996),http://dbpedia.org/resource/When_the_Cats_Away,Q7216786
257,Men in Black (1997),http://dbpedia.org/resource/Men_in_Black,Q726061
258,Contact (1997),http://dbpedia.org/resource/Contact,Q7327031
259,George of the Jungle (1997),http://dbpedia.org/resource/George_of_the_Jungle,Q2971062
260,Event Horizon (1997),http://dbpedia.org/resource/Event_Horizon,Q6188304
261,Air Bud (1997),http://dbpedia.org/resource/Air_Bud,Q1716690
262,In the Company of Men (1997),http://dbpedia.org/resource/In_the_Company_of_Men,Q638887
263,Steel (1997),http://dbpedia.org/resource/Steel,Q2560857
264,Mimic (1997),http://dbpedia.org/resource/Mimic,Q6632018
265,"Hunt for Red October, The (1990)","http://dbpedia.org/resource/Hunt_for_Red_October,_The",Q3815663
266,Kull the Conqueror (1997),http://dbpedia.org/resource/Kull_the_Conqueror,Q605722
267,unknown,http://dbpedia.org/resource/unknown,Q1009080
268,Chasing Amy (1997),http://dbpedia.org/resource/Chasing_Amy,Q5707876
269,"Full Monty, The (1997)","http://dbpedia.org/resource/Full_Monty,_The",Q4031773
270,Gattaca (1997),http://dbpedia.org/resource/Gattaca,Q4588206
271,Starship Troopers (1997),http://dbpedia.org/resource/Starship_Troopers,Q2733766
272,Good Will Hunting (1997),http://dbpedia.org/resource/Good_Will_Hunting,Q8582435
273,Heat (1995),http://dbpedia.org/resource/Heat,Q2817267
274,Sabrina (1995),http://dbpedia.org/resource/Sabrina,Q2819644
275,Sense and Sensibility (1995),http://dbpedia.org/resource/Sense_and_Sensibility,Q6265254
276,Leaving Las Vegas (1995),http://dbpedia.org/resource/Leaving_Las_Vegas,Q8500311
277,Restoration (1995),http://dbpedia.org/resource/Restoration,Q7891645
278,Bed of Roses (1996),http://dbpedia.org/resource/Bed_of_Roses,Q4668918
279,Once Upon a Time... When We Were Colored (1995),http://dbpedia.org/resource/Once_Upon_a_Time..._When_We_Were_Colored,Q5829132
280,Up Close and Personal (1996),http://dbpedia.org/resource/Up_Close_and_Personal,Q7875085
281,"River Wild, The (1994)","http://dbpedia.org/resource/River_Wild,_The",Q734116
282,"Time to Kill, A (1996)","http://dbpedia.org/resource/Time_to_Kill,_A",Q7132557
283,Emma (1996),http://dbpedia.org/resource/Emma,Q1406647
284,Tin Cup (1996),http://dbpedia.org/resource/Tin_Cup,Q7244331
285,Secrets & Lies (1996),http://dbpedia.org/resource/Secrets_&_Lies,Q8586297
286,"English Patient, The (1996)","http://dbpedia.org/resource/English_Patient,_The",Q5935200
287,Marvin's Room (1996),http://dbpedia.org/resource/Marvin's_Room,Q6267108
288,Scream (1996),http://dbpedia.org/resource/Scream,Q8379986
289,Evita (1996),http://dbpedia.org/resource/Evita,Q8697325
290,Fierce Creatures (1997),http://dbpedia.org/resource/Fierce_Creatures,Q9291552
291,Absolute Power (1997),http://dbpedia.org/resource/Absolute_Power,Q2289426
292,Rosewood (1997),http://dbpedia.org/resource/Rosewood,Q3027395
293,Donnie Brasco (1997),http://dbpedia.org/resource/Donnie_Brasco,Q4283194
294,Liar Liar (1997),http://dbpedia.org/resource/Liar_Liar,Q2092162
295,Breakdown (1997),http://dbpedia.org/resource/Breakdown,Q9079186
296,"Promesse, La (1996)","http://dbpedia.org/resource/Promesse,_La",Q4499672
297,Ulee's Gold (1997),http://dbpedia.org/resource/Ulee's_Gold,Q9615048
298,Face/Off (1997),http://dbpedia.org/resource/Face/Off,Q9633697
299,Hoodlum (1997),http://dbpedia.org/resource/Hoodlum,Q9144694
300,Air Force One (1997),http://dbpedia.org/resource/Air_Force_One,Q9492790
301,In & Out (1997),http://dbpedia.org/resource/In_&_Out,Q8869709
302,L.A. Confidential (1997),http://dbpedia.org/resource/L.A._Confidential,Q229125
303,Ulee's Gold (1997),http://dbpedia.org/resource/Ulee's_Gold,Q9615048
304,Fly Away Home (1996),http://dbpedia.org/resource/Fly_Away_Home,Q6979829
305,"Ice Storm, The (1997)","http://dbpedia.org/resource/Ice_Storm,_The",Q4573230
306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",http://dbpedia.org/resource/Mrs._Brown,Q1710729
307,"Devil's Advocate, The (1997)","http://dbpedia.org/resource/Devil's_Advocate,_The",Q6236632
308,FairyTale: A True Story (1997),http://dbpedia.org/resource/FairyTale:_A_True_Story,Q7262179
309,Deceiver (1997),http://dbpedia.org/resource/Deceiver,Q6294525
310,"Rainmaker, The (1997)","http://dbpedia.org/resource/Rainmaker,_The",Q4015798
311,"Wings of the Dove, The (1997)","http://dbpedia.org/resource/Wings_of_the_Dove,_The",Q6676466
312,Midnight in the Garden of Good and Evil (1997),http://dbpedia.org/resource/Midnight_in_the_Garden_of_Good_and_Evil,Q9276898
